HEDRES	CULTPOS	WEALTH	PARED	HISEI
0.07	-0.08	0.72	0.53	2.27
1.57	0.78	1.53	0.98	0.46
0.57	1.57	1.58	0.98	0.04
-0.10	-1.58	0.64	0.53	0.04
1.57	0.59	1.25	-0.36	-0.47
-0.01	0.59	0.09	-1.25	-0.09
1.57	0.08	0.86	0.98	-0.31
-1.04	-1.58	-3.23	-1.25	0.04
-0.10	0.39	-0.06	-0.36	-0.31
1.57	1.26	1.77	0.98	0.18
-1.37	-1.11	-0.70	1.43	2.27
0.03	0.79	1.51	0.98	-0.04
-0.10	1.26	0.16	-0.36	-0.31
-0.10	0.33	0.08	-0.36	0.40
-1.04	-0.24	0.36	0.53	1.89
-0.74	-1.58	-1.16	0.53	-0.58
-0.10	0.18	-0.28	-0.36	0.40
-0.99	-1.58	-1.10	0.53	-0.64
-0.74	0.59	-1.13	0.53	0.04
1.57	1.26	0.77	0.98	0.40
0.57	0.78	-0.22	0.98	-0.04
-0.80	-1.11	0.81	-0.36	-1.08
1.57	-1.58	1.10	0.98	0.04
0.57	0.50	0.32	-1.48	-0.26
1.57	1.26	0.47	1.43	-1.13
-0.52	-1.58	-0.78	-1.48	-0.36
-0.10	-0.08	1.26	1.43	-0.47
0.45	-1.11	0.23	0.53	-0.36
0.57	0.48	0.29	1.43	-0.64
1.57	1.06	2.67	0.53	0.90
0.57	-0.17	-0.67	-1.25	-0.36
-0.10	1.26	0.72	-0.36	-0.64
1.57	1.57	1.27	0.98	0.04
1.57	0.01	0.83	0.53	-0.58
1.57	1.26	0.66	-0.36	-0.04
-1.01	-1.58	-0.89	-0.36	0.04
0.28	0.03	0.81	0.98	0.04
0.72	-0.01	0.09	-1.25	-1.30
0.07	-0.19	0.71	0.98	2.27
-2.20	0.33	0.65	0.98	-0.42
0.10	0.03	0.55	0.98	-0.31
0.57	0.59	0.27	-0.36	0.40
-0.43	-1.58	-0.13	-1.25	-0.31
-2.20	-1.11	-1.07	0.53	1.23
1.57	1.26	0.71	-1.25	-0.26
-0.10	-0.18	0.40	0.98	0.40
0.57	-0.24	-0.19	0.53	1.61
0.57	0.03	0.69	0.53	-0.31
0.57	0.12	1.05	0.53	0.51
-0.43	-1.58	-0.05	-1.25	0.07
-0.39	-1.58	-0.42	0.98	0.07
-0.10	-0.64	1.16	-0.36	-0.31
-0.10	0.80	0.49	0.53	0.73
-0.10	-0.24	-0.90	-1.48	-0.58
0.03	0.03	0.02	0.01	0.04
1.57	0.28	1.43	0.53	1.89
-0.01	2.89	1.11	0.53	2.27
0.57	0.33	1.19	-1.25	1.56
-0.46	0.67	-0.18	0.98	0.73
-0.39	-0.15	1.06	-1.25	-0.09
0.45	0.69	0.28	-0.36	-0.58
-0.01	0.08	0.34	-0.36	-0.31
-0.74	-1.58	-0.84	-1.25	-1.30
-0.98	-1.58	-0.90	-1.25	0.40
-0.74	0.67	-2.23	-1.25	-0.42
0.57	-0.39	1.07	-1.25	0.04
1.57	0.18	0.39	1.43	-0.04
-0.10	-0.19	0.39	-0.36	-0.42
-1.01	-1.11	-1.17	-1.25	0.04
-1.51	-0.49	-0.73	0.98	-0.69
0.72	-0.10	-0.03	-1.25	-1.30
-0.10	-0.19	0.11	-1.25	0.40
-0.10	-0.52	0.56	0.98	-0.04
1.57	-0.24	-0.47	0.53	-0.58
-2.20	-1.58	-1.17	-1.25	-1.30
-0.99	-1.58	-0.58	-1.25	-0.75
0.07	-0.19	0.43	-0.36	-0.42
-0.74	0.16	0.08	-1.25	-1.30
-1.87	-1.11	-0.99	-0.36	-1.30
-1.49	0.14	-0.79	-0.36	-1.30
-1.40	-0.10	-1.11	-0.36	-0.09
-0.54	0.56	-0.50	-0.36	-0.36
-0.39	0.90	0.01	0.98	-1.30
-0.74	-0.10	-3.23	-0.36	-0.09
0.57	-0.24	0.56	0.53	-0.64
-1.51	-1.58	-1.95	-1.25	-1.30
-0.74	1.06	-0.74	-1.25	-1.30
-0.62	-1.14	-0.50	-1.25	-0.69
-1.01	-0.39	-0.97	-1.48	-1.30
-1.01	0.39	-0.05	-1.25	-1.30
-1.51	0.16	-0.37	-1.25	-0.31
-0.52	-0.49	-0.70	0.53	2.00
-0.12	0.12	-0.74	-0.36	-0.97
-1.51	-0.39	-0.16	-1.25	-0.69
-0.93	-1.58	-0.97	-0.36	-1.30
1.57	1.06	0.38	-1.25	-0.64
-0.74	0.16	0.22	1.43	-0.64
-1.04	0.59	-1.00	0.53	-1.08
1.57	1.57	1.65	1.43	-0.64
1.57	0.78	-0.25	-0.36	-0.69
-0.67	0.14	0.47	0.53	1.56
0.74	-0.15	1.03	-0.36	-0.04
-0.01	0.39	-0.89	1.43	-1.30
-0.99	-0.84	-1.18	-1.25	-1.30
-0.10	0.31	0.87	0.53	-0.04
-1.37	-1.58	-1.17	-1.25	0.40
-1.04	-1.58	-0.77	-1.25	-1.30
0.69	0.03	-0.39	1.43	-1.08
-1.57	-0.64	-0.59	0.98	-0.31
-0.12	-0.19	-0.93	-1.25	-0.58
-1.82	-1.58	-2.04	-0.36	-1.30
-0.67	-1.11	-2.39	-1.25	0.04
-0.43	-0.01	-0.78	-1.25	-1.30
-0.99	-0.19	-0.89	0.53	0.04
-0.10	0.59	-0.38	-1.25	-0.42
1.15	0.03	0.13	-0.36	-0.04
-0.76	-1.58	-0.94	-1.48	-1.30
-1.48	1.26	-1.24	-1.25	-0.31
0.57	-1.58	-0.89	-1.25	0.04
-0.10	1.05	0.39	1.43	0.04
1.57	0.03	0.77	-0.36	-1.30
-1.60	-1.11	-0.72	-0.36	-1.30
1.57	0.67	1.01	-0.36	-0.04
0.45	0.33	0.65	0.53	-0.42
-0.10	-0.64	0.23	-1.25	-0.36
-0.39	0.14	-0.28	-1.25	-0.97
1.57	2.89	1.79	1.43	1.89
0.34	0.03	-0.01	-0.36	-0.58
-0.39	-0.15	-0.12	-0.36	-1.13
-0.10	-0.24	-0.06	-0.36	-0.69
-0.74	0.33	-0.70	-0.36	-0.42
-0.39	-1.11	-0.07	-1.25	-1.08
-0.10	0.50	-0.86	0.53	0.18
1.57	-0.18	0.88	1.43	2.00
0.57	0.41	1.12	0.53	0.07
0.57	-0.24	0.12	0.53	-0.42
0.03	0.41	-0.10	-0.36	-0.42
-0.74	-0.24	-0.87	0.98	-0.26
1.14	2.89	1.44	-0.36	0.04
-0.10	0.41	0.83	0.53	-0.04
-0.10	0.03	1.00	1.43	1.56
-3.34	-0.24	-0.75	0.98	0.04
-0.10	-1.58	-0.16	-1.25	0.04
0.03	0.03	-1.06	0.98	-0.09
0.45	0.22	0.27	0.98	1.56
-0.43	0.33	0.18	0.98	1.89
0.45	2.89	1.19	1.43	0.04
0.45	1.06	1.29	1.43	2.05
0.45	0.78	0.91	1.43	0.18
0.45	-0.28	0.24	-1.25	-0.64
-0.10	-0.10	-0.37	0.98	-0.58
-0.74	0.93	0.07	0.98	1.67
0.45	-1.11	0.58	0.53	-0.58
1.57	-0.64	0.45	0.53	-0.04
-0.12	-1.58	-0.13	-0.36	-0.36
1.57	2.89	1.34	1.43	1.12
-1.60	-1.58	-3.23	-0.36	-1.30
0.45	0.80	0.75	0.98	2.27
-0.43	-0.19	-0.01	-1.25	-1.30
1.57	1.57	1.12	1.43	0.90
1.57	2.89	2.14	0.53	0.73
1.57	1.26	1.57	1.43	0.90
-1.06	-1.58	0.33	0.98	-1.30
0.45	0.41	-0.42	-0.36	-0.53
1.57	0.33	0.86	-0.36	0.46
-0.10	-1.58	0.06	-0.36	0.40
0.45	0.78	0.81	0.98	0.51
-0.43	-1.11	-0.42	1.43	0.29
-0.80	0.33	0.27	-1.25	-1.13
0.57	0.48	1.48	0.53	1.94
1.57	1.57	1.02	1.43	1.67
-0.81	-0.10	0.20	-1.25	-1.30
0.57	0.67	1.20	0.98	-0.04
1.57	1.57	1.65	0.98	1.94
0.57	0.33	0.30	-0.36	-0.04
0.45	1.26	1.65	1.43	-0.04
-0.40	-1.58	0.84	0.53	1.94
1.57	-1.58	-0.27	0.53	-0.31
-0.10	0.41	0.04	1.43	1.12
-0.52	0.69	0.16	1.43	1.56
1.57	1.06	1.15	1.43	1.67
0.45	1.06	0.97	0.53	1.17
-1.21	0.33	-0.71	-0.36	-0.42
-1.01	-0.24	-3.23	1.43	-0.69
0.57	-0.19	0.75	-0.36	0.04
0.60	-0.64	-1.69	-1.48	-1.30
0.34	0.03	3.67	0.01	1.61
-1.36	0.08	-0.79	0.53	0.04
-0.39	-0.28	-0.69	-1.25	-1.30
-1.06	0.03	-3.23	-0.36	-1.30
-1.57	0.33	-1.08	0.98	0.04
-2.17	-1.58	-2.23	-1.25	-1.30
-3.34	0.41	-3.23	-1.25	-1.30
-0.31	-1.58	-0.33	-1.25	-0.42
-0.74	-0.19	-0.61	-0.36	0.04
-0.67	0.03	-1.25	-1.48	-0.09
-0.74	-0.19	-0.41	-0.36	-1.30
-2.04	-1.58	-3.23	-1.48	-1.30
-1.48	-1.14	-1.21	0.53	-1.13
-2.17	-1.11	-1.26	-1.25	-0.42
-2.01	-1.58	-1.30	-1.48	0.04
0.74	-1.58	0.03	-1.25	0.04
0.57	-1.58	0.88	0.98	-1.30
0.57	0.41	0.53	1.43	-1.30
1.57	0.90	0.10	-0.36	-0.04
0.57	0.41	0.75	-1.25	0.40
1.26	0.79	0.06	-1.25	0.40
0.57	-1.58	1.28	0.53	-0.42
0.57	-1.11	0.33	-1.25	0.40
0.57	-1.58	0.92	-0.36	2.27
-0.10	-0.19	-0.60	-0.36	-0.26
0.57	-0.10	1.35	0.98	0.46
1.57	1.06	1.41	0.53	-0.04
-0.08	-0.64	-0.10	-0.36	-0.47
1.57	0.59	1.05	0.53	-0.42
-0.10	-0.84	0.02	0.53	0.90
1.57	-0.24	0.62	-0.36	-0.58
0.45	1.26	1.11	-0.36	-0.31
0.57	-1.58	0.01	0.53	-1.13
-0.10	-1.11	-0.02	-1.25	0.04
-0.44	-1.58	-0.68	-0.36	-1.13
0.45	-0.24	0.82	0.53	0.40
-0.99	-1.58	-0.23	-0.36	0.40
0.45	-0.17	0.80	-0.36	-0.53
-0.74	0.80	-0.11	0.98	0.18
-0.74	0.31	0.71	-1.25	-0.26
0.57	-0.10	1.03	0.53	-0.04
0.07	0.18	1.64	1.43	0.04
-0.74	-0.24	-1.75	0.53	0.04
1.57	0.67	0.22	-1.25	0.04
1.57	0.78	0.42	-0.36	-0.04
-0.44	-1.58	-1.25	-0.36	0.04
0.03	0.03	1.05	-0.36	-0.36
-0.01	1.05	-0.03	-0.36	-1.30
-0.39	0.33	-0.33	-0.36	0.40
-0.38	-0.15	-0.73	-0.36	0.04
-0.44	0.69	-0.47	0.53	-0.58
-0.01	-0.15	-0.45	-0.36	-1.30
-1.60	-0.24	-1.27	-1.25	0.04
1.57	0.33	0.76	-1.25	-0.36
-0.39	-1.58	-0.41	-1.25	-0.04
-0.74	-0.19	-1.41	-1.25	-0.31
-0.39	1.26	-0.18	0.53	-0.42
-1.60	-0.19	-1.78	-1.48	-0.04
-0.39	0.08	0.18	0.98	-0.26
1.57	0.33	-0.19	1.43	0.51
0.07	0.59	-1.74	-0.36	-1.08
-0.74	0.03	-0.77	1.43	1.23
-0.67	-1.58	-1.23	-1.25	-0.09
-0.01	0.14	-0.20	0.53	0.07
1.57	0.93	1.34	1.43	0.04
-1.14	0.33	-1.65	-1.25	-0.31
-3.34	-1.58	-0.77	0.98	-0.69
-0.39	0.67	0.23	-0.36	1.94
0.03	1.21	1.06	0.53	0.04
0.10	0.59	-1.19	-1.25	0.04
1.57	-0.24	-0.63	0.98	0.51
-0.76	-1.58	-0.54	1.43	-0.42
0.45	1.26	0.71	-1.25	0.04
-0.10	0.33	0.52	0.98	1.12
-1.04	-0.64	-0.86	-1.25	-0.80
1.57	0.67	0.27	0.53	0.04
1.57	0.59	1.21	-0.36	-0.04
0.57	0.33	0.92	-0.36	-0.31
1.57	0.09	2.07	1.43	2.38
1.57	-0.10	0.43	-0.36	-0.31
-1.50	-1.58	-0.19	-0.36	-0.47
0.72	0.10	0.61	1.43	-0.42
-0.11	-1.58	-0.56	-1.25	-0.80
1.57	0.20	-0.11	0.98	0.29
0.45	-0.52	0.21	0.53	-0.31
0.60	0.43	-0.39	0.98	0.84
-0.74	-1.58	-0.34	0.53	-0.04
-1.04	0.41	-0.35	0.53	-0.69
0.57	-1.11	-0.13	0.53	1.12
0.45	-0.19	0.01	0.53	0.40
1.57	0.78	0.69	0.98	0.29
0.57	0.33	1.31	1.43	0.90
-0.74	0.33	-0.72	-1.25	-1.30
1.57	0.67	-0.40	0.53	0.40
1.57	1.26	0.84	-0.36	0.04
1.57	0.03	-0.08	0.53	-0.64
-1.08	-1.58	-1.41	0.53	0.40
0.57	1.26	0.61	-0.36	-0.53
-0.44	0.33	-1.25	-1.25	-0.42
-0.62	-1.58	-0.81	0.98	0.04
0.57	0.67	-0.16	-1.25	-0.26
-0.10	0.59	-0.29	-1.25	-0.26
-1.14	0.33	-0.89	-1.25	-0.09
1.57	1.06	-0.22	0.98	0.04
-1.60	1.06	-0.28	0.53	-0.58
-0.62	-0.39	-0.28	1.43	-0.26
-1.14	-0.24	-0.94	0.98	-0.64
0.03	0.03	-0.28	-0.36	-0.47
0.40	0.35	0.25	0.98	-0.58
-1.51	-1.58	-1.13	-1.48	-0.80
0.27	0.03	0.02	-0.36	-0.64
-0.39	0.48	-0.86	-1.25	-0.69
0.60	0.39	1.12	0.98	-0.58
0.45	-1.58	-0.79	-0.36	-0.58
-1.14	0.59	-0.37	-0.36	-0.64
-1.01	-1.58	-1.39	0.53	-0.75
-0.10	0.33	0.08	-1.25	-0.64
-0.52	-0.10	-0.04	-0.36	-0.31
-0.74	1.06	-0.04	-1.25	-0.80
0.45	1.57	0.58	-0.36	0.04
-0.67	-0.64	-0.61	-1.48	-0.80
-0.11	0.16	-0.08	-1.25	-0.64
0.57	1.06	0.65	0.98	1.23
-0.52	-1.58	1.36	1.43	0.84
0.45	-1.58	-0.38	-0.36	-0.69
1.57	-0.52	-0.09	-1.25	1.50
-0.10	-0.49	0.50	1.43	2.00
0.45	1.57	1.38	0.53	1.89
0.08	-0.52	0.89	1.43	1.67
1.57	-0.52	0.46	0.98	-0.42
-0.10	0.78	0.37	-1.25	0.04
1.57	-0.84	0.30	-1.25	1.23
-0.10	0.03	-0.13	0.53	0.04
-0.32	-1.58	0.04	-0.36	-0.69
-0.39	1.26	-0.95	-1.25	-1.13
1.57	0.18	0.97	-0.36	0.79
0.45	1.57	0.91	0.53	-0.04
-0.11	-0.24	0.05	1.43	2.00
-1.14	0.59	-1.11	1.43	2.27
1.57	0.33	0.57	1.43	0.90
0.57	0.67	-0.66	-0.36	0.84
1.57	0.69	1.01	1.43	1.83
-0.74	-0.24	-0.41	-1.25	-1.30
-0.10	1.57	1.06	1.43	1.67
-0.10	0.52	1.93	1.43	-1.02
-0.10	-0.39	1.21	-1.25	-1.30
1.57	1.06	0.36	-1.25	-0.04
1.57	0.78	0.82	-1.48	-0.31
0.60	1.57	0.51	1.43	1.23
-0.74	0.50	-0.18	-1.25	-1.30
-0.63	0.60	-0.27	1.43	0.04
0.00	0.08	-0.74	-1.25	0.04
-0.10	0.05	-0.58	-1.48	-1.30
0.57	0.78	-0.22	0.53	-0.69
0.07	0.69	1.18	0.53	0.04
0.45	0.14	0.35	-0.36	1.56
0.03	0.03	0.02	0.01	0.04
0.57	1.05	0.46	0.53	-0.31
-0.10	-1.58	0.04	-1.25	-1.30
1.57	1.26	1.16	1.43	1.56
-0.10	-0.15	0.94	0.98	0.79
-0.10	0.33	0.43	-1.25	-0.26
1.57	1.57	2.36	1.43	2.55
1.57	0.67	0.64	1.43	1.89
-0.10	2.89	1.67	1.43	2.71
-0.74	-1.58	-0.37	0.98	-1.08
1.26	0.79	0.39	-0.36	-0.64
-0.10	0.78	-0.40	0.53	-0.36
0.45	0.18	0.20	1.43	0.90
1.57	1.26	0.26	1.43	0.90
0.57	0.41	0.26	1.43	0.90
-0.10	-1.58	1.38	1.43	2.55
-0.39	-1.58	-0.51	0.53	-0.31
0.45	0.14	-0.23	-1.25	-1.30
0.45	-0.17	0.86	1.43	2.22
-0.10	-1.11	0.91	0.53	-0.04
-0.10	-0.49	0.01	0.53	-0.42
1.57	1.26	1.66	0.98	0.90
1.57	1.06	1.39	0.53	0.40
-0.10	0.48	0.40	1.43	1.67
-0.10	-1.58	0.23	-1.25	-0.04
-0.04	-1.58	-0.12	0.98	-0.36
1.57	2.89	1.13	1.43	0.57
-0.44	0.33	-0.38	-0.36	-0.69
-0.39	0.14	-0.01	-0.36	0.04
0.22	0.03	-0.61	0.53	0.04
1.57	1.57	1.21	1.43	1.39
0.45	0.39	0.25	-0.36	-0.97
-0.70	-1.58	-1.66	-0.36	-0.69
-3.34	-1.58	-2.12	-1.25	-0.97
-2.20	0.59	-1.17	1.43	-1.13
-2.20	-1.58	-1.27	0.53	-0.04
-0.76	-0.19	-1.03	-1.25	0.40
-0.76	0.67	-2.12	1.43	-0.58
-1.48	-0.10	-2.12	-1.25	-0.42
0.03	0.03	-1.16	0.53	0.04
-0.39	0.33	-0.47	1.43	-1.30
-0.92	-0.64	0.35	1.43	1.23
-1.40	-1.58	-2.39	1.43	0.40
-1.60	-1.58	-0.84	-1.25	-0.09
0.28	0.94	1.20	-0.36	-0.42
-0.76	0.39	-0.49	1.43	0.04
-0.43	-0.11	-0.15	-1.25	-0.31
-1.60	-1.58	-0.20	-1.25	0.04
0.03	-0.49	-0.07	-1.25	0.04
0.03	-0.64	0.19	-1.25	-0.42
1.14	1.06	0.79	-0.36	-0.04
-0.74	-0.24	-1.23	-1.25	-1.30
-0.76	-0.19	-1.06	-1.25	-0.69
-0.77	0.67	0.61	1.43	-0.47
-0.99	-1.58	-0.11	1.43	1.01
1.18	0.03	0.37	1.43	-0.64
-0.74	1.29	0.66	-1.25	-0.42
-0.01	0.41	-0.51	-0.36	-0.09
-1.14	-1.58	-1.11	-0.36	0.40
1.57	0.26	0.51	-1.25	-0.58
-0.12	0.22	-0.16	-1.25	0.04
-0.76	0.08	-0.45	-1.25	-1.30
-0.26	-1.58	-0.60	-0.36	0.40
0.57	0.08	-0.04	-1.25	-1.30
1.57	0.12	0.58	-1.25	-1.30
1.57	0.10	0.65	-1.25	-1.30
0.45	1.06	-0.28	-0.36	-0.31
0.57	0.78	0.82	0.98	-0.04
0.57	0.03	-0.14	-0.36	-0.31
0.45	1.05	1.34	0.98	0.04
0.57	0.18	0.13	-0.36	-0.58
-0.74	-0.49	-0.22	0.98	0.40
-0.44	-1.58	-0.46	-0.36	-1.30
-1.32	-1.58	-1.55	1.43	0.04
-1.40	-1.58	-3.20	-0.36	0.04
-0.76	-1.11	-0.38	1.43	0.04
-2.20	-1.58	-1.15	-0.36	-0.31
-0.39	1.15	-0.10	0.98	0.90
-0.47	-0.01	-1.99	-0.36	-0.64
-2.20	-1.58	-3.23	-1.25	0.04
-0.10	1.26	0.76	0.98	0.18
0.45	1.57	2.11	1.43	1.89
1.57	2.89	3.42	1.43	1.83
0.57	1.26	2.23	1.43	-0.04
1.57	2.89	2.07	1.43	-0.80
-0.10	1.26	1.51	0.98	-1.30
-0.10	-1.58	0.27	1.43	2.93
1.57	1.26	1.85	1.43	1.89
0.45	-0.24	0.59	-0.36	-1.30
0.60	2.89	1.59	1.43	1.94
1.57	1.57	1.90	1.43	1.17
0.45	0.43	0.59	-0.36	-0.58
1.57	1.57	2.64	1.43	1.89
0.45	1.26	2.48	1.43	2.93
-0.43	0.01	2.00	1.43	-0.04
1.57	2.89	2.19	1.43	-0.42
0.45	1.57	1.72	1.43	2.93
0.45	-1.11	1.55	0.98	-0.09
0.45	0.14	0.99	0.53	-1.02
1.57	0.78	0.52	0.98	-0.31
-0.86	-0.26	1.25	1.43	1.45
0.57	-0.24	-0.12	-0.36	0.07
1.57	1.26	0.84	-0.36	-1.30
-0.74	0.78	-1.71	-1.25	-1.30
-0.72	-0.24	-0.67	-1.25	-0.09
-2.20	-0.19	-0.93	-1.48	-1.08
-0.74	0.08	-0.73	-1.25	-0.04
-0.39	1.06	-0.29	0.98	-0.04
-1.14	-0.19	-1.66	-0.36	-0.31
-0.74	0.39	-1.35	0.98	-0.58
0.03	0.03	0.02	-1.25	0.04
-2.20	-0.19	-1.17	-1.25	-0.69
-1.60	-1.58	-1.58	-0.36	-0.53
-1.04	0.08	-1.58	-0.36	-0.64
-1.60	0.33	-0.37	-1.25	-0.36
0.45	-1.58	0.64	0.98	-0.64
-0.44	-1.58	-0.67	-1.25	0.29
-1.13	-0.24	-2.23	0.98	0.04
-0.32	-0.64	-0.72	-1.25	0.04
-1.60	-0.19	-1.27	-1.25	-0.64
1.15	0.48	0.02	0.98	0.04
-0.67	-1.58	-1.54	-0.36	-1.30
-0.44	-0.52	-1.46	0.98	1.23
-2.20	-0.19	-1.63	-0.36	-1.30
1.57	0.69	0.56	0.98	1.56
0.57	-0.10	0.32	0.98	-0.42
-1.14	0.33	-0.87	0.53	0.07
-0.44	-0.10	-0.30	0.53	-0.64
-0.74	-0.19	-1.01	0.53	-1.30
-0.74	0.78	-1.40	-0.36	-0.42
-0.99	-0.10	-0.19	-1.25	-0.42
-0.74	-0.24	-0.93	1.43	-0.42
-0.44	0.14	-1.12	-1.25	-1.08
1.57	0.33	0.24	-1.25	-0.42
-2.04	-1.58	-1.18	-1.25	-1.30
-0.63	-0.19	-0.32	-1.25	-1.30
-1.60	-0.39	-0.66	-1.48	-1.30
-3.34	-1.11	-0.61	-0.36	-1.30
-1.40	-1.11	-1.53	1.43	-1.30
0.45	0.78	1.01	0.98	-1.30
0.57	-0.52	0.36	-1.25	1.56
-0.10	-1.58	-0.31	-0.36	-0.26
0.57	0.33	-0.10	-1.25	2.27
1.57	1.57	2.10	1.43	1.56
1.26	1.57	0.81	1.43	2.27
0.57	-0.10	0.27	0.53	-0.31
1.57	1.57	1.03	1.43	1.89
-1.04	-0.24	-0.86	-1.25	0.04
0.45	0.33	0.12	0.53	0.90
1.14	2.11	1.01	0.53	0.04
1.57	2.89	1.15	1.43	2.38
-0.44	-0.24	-1.34	-1.48	-0.64
1.57	0.50	1.50	1.43	2.55
-0.10	-1.11	0.87	1.43	1.94
-0.44	1.26	1.37	0.98	1.83
-0.10	0.43	2.79	1.43	1.94
1.57	1.57	0.43	1.43	2.22
0.57	-0.24	-0.41	0.53	-0.97
1.57	1.06	0.69	1.43	2.27
0.57	0.41	-0.17	0.53	0.04
0.10	0.03	0.38	-0.36	-0.04
-0.74	-0.84	-0.22	0.53	-0.58
-0.10	-0.18	0.72	0.53	0.84
1.57	0.93	0.51	-0.36	-0.04
1.57	1.06	0.92	0.53	-0.42
-0.39	-1.11	0.40	0.98	1.83
-0.08	-0.19	0.22	0.98	-1.08
1.57	1.06	1.05	1.43	1.67
-0.43	-0.52	-0.28	-0.36	-0.42
-0.23	0.03	-0.45	1.43	0.90
1.57	0.67	0.39	0.53	-1.30
1.57	0.67	1.19	1.43	0.90
-0.10	-0.08	0.62	0.53	-0.36
-0.74	-1.58	-0.40	-1.25	-0.47
-0.10	-1.58	-0.08	-1.25	0.04
1.57	-0.64	1.15	0.98	-0.75
-0.37	0.39	1.13	0.53	1.89
-1.04	0.10	-0.96	-0.36	-0.58
-1.14	0.59	-0.09	-0.36	0.40
-0.74	0.67	0.10	0.53	-0.42
-0.99	-0.19	-1.10	-0.36	-0.53
1.57	0.78	-0.09	0.53	0.90
-0.43	1.26	0.67	0.53	0.46
0.57	0.78	0.05	0.53	0.40
-0.39	-0.05	0.12	0.53	-0.42
1.57	-0.24	0.42	0.53	-0.31
-0.44	1.57	0.48	1.43	1.17
1.57	1.06	0.89	0.98	-0.42
0.45	0.12	0.19	0.98	-0.26
